Datetime,Open,High,Low,Close,Adj Close,Volume
2021-11-10 09:30:00-05:00,78.0,78.0,78.0,78.0,78.0,0
2021-11-10 13:00:00-05:00,106.75,119.44999694824219,105.47000122070312,119.37999725341797,119.37999725341797,35798020
2021-11-10 13:15:00-05:00,119.4000015258789,119.45999908447266,107.11000061035156,107.32009887695312,107.32009887695312,11482886
2021-11-10 13:30:00-05:00,107.43000030517578,110.5,105.0,105.0,105.0,8147253
2021-11-10 13:45:00-05:00,105.11000061035156,105.18000030517578,95.6500015258789,99.51799774169922,99.51799774169922,12401636
2021-11-10 14:00:00-05:00,99.5999984741211,103.0,99.0,100.19999694824219,100.19999694824219,5542348
2021-11-10 14:15:00-05:00,100.2750015258789,102.01000213623047,97.5999984741211,98.38999938964844,98.38999938964844,3669989
2021-11-10 14:30:00-05:00,98.41000366210938,99.0,95.19999694824219,97.16000366210938,97.16000366210938,4479788
2021-11-10 14:45:00-05:00,97.16999816894531,102.0,97.16999816894531,98.88990020751953,98.88990020751953,4166803
2021-11-10 15:00:00-05:00,98.82499694824219,102.98999786376953,97.62999725341797,102.98999786376953,102.98999786376953,2991547
2021-11-10 15:15:00-05:00,102.86000061035156,104.48999786376953,100.27999877929688,102.98989868164062,102.98989868164062,3666447
2021-11-10 15:30:00-05:00,102.87000274658203,103.0,98.5999984741211,99.98999786376953,99.98999786376953,3186147
2021-11-10 15:45:00-05:00,100.0,102.0999984741211,99.5199966430664,100.26000213623047,100.26000213623047,5068255
2021-11-11 09:30:00-05:00,114.625,116.29000091552734,108.02999877929688,110.44999694824219,110.44999694824219,14426530
2021-11-11 09:45:00-05:00,110.16999816894531,112.44000244140625,109.72000122070312,111.33000183105469,111.33000183105469,3906769
2021-11-11 10:00:00-05:00,111.30000305175781,112.25,110.41000366210938,110.95999908447266,110.95999908447266,2977161
2021-11-11 10:15:00-05:00,110.91000366210938,112.87999725341797,110.2699966430664,112.12999725341797,112.12999725341797,2654070
2021-11-11 10:30:00-05:00,112.1500015258789,112.39990234375,110.34500122070312,110.95999908447266,110.95999908447266,2016402
2021-11-11 10:45:00-05:00,110.99970245361328,117.54000091552734,110.98539733886719,116.55609893798828,116.55609893798828,4404307
2021-11-11 11:00:00-05:00,116.55999755859375,120.0,115.6050033569336,118.80000305175781,118.80000305175781,5846881
2021-11-11 11:15:00-05:00,118.82099914550781,122.41999816894531,115.75,117.94000244140625,117.94000244140625,5083374
2021-11-11 11:30:00-05:00,117.88999938964844,121.5,116.6500015258789,120.20649719238281,120.20649719238281,3521937
2021-11-11 11:45:00-05:00,120.31999969482422,124.8499984741211,118.5,123.75,123.75,4863997
2021-11-11 12:00:00-05:00,123.59010314941406,125.0,121.5,122.69999694824219,122.69999694824219,3067421
2021-11-11 12:15:00-05:00,122.69999694824219,123.9000015258789,120.20999908447266,123.7083969116211,123.7083969116211,2765945
2021-11-11 12:30:00-05:00,123.62999725341797,124.86000061035156,122.72000122070312,124.17500305175781,124.17500305175781,2196959
2021-11-11 12:45:00-05:00,124.19950103759766,124.19999694824219,121.0,122.65010070800781,122.65010070800781,1526159
2021-11-11 13:00:00-05:00,122.7699966430664,124.05999755859375,122.5999984741211,122.81310272216797,122.81310272216797,1471886
2021-11-11 13:15:00-05:00,122.80000305175781,124.5,119.4000015258789,120.02999877929688,120.02999877929688,2616048
2021-11-11 13:30:00-05:00,119.98999786376953,120.19000244140625,117.60009765625,118.8468017578125,118.8468017578125,2139479
2021-11-11 13:45:00-05:00,118.86000061035156,119.0,115.1500015258789,115.62999725341797,115.62999725341797,2097260
